age,job,marital,education,default,balance,housing,loan,uid1
30,technician,divorced,tertiary,no,317,yes,no,38096
38,services,single,secondary,no,91,no,no,43182
41,technician,married,unknown,no,-391,yes,yes,16273
31,blue-collar,married,primary,no,2198,no,no,8277
29,management,married,tertiary,no,250,yes,no,31457
43,housemaid,married,primary,no,169,no,yes,16796
35,technician,married,secondary,no,-360,yes,no,15647
39,blue-collar,married,primary,no,390,yes,no,32770
43,management,married,tertiary,no,136,no,no,19226
50,management,married,tertiary,no,1463,no,yes,40316
47,technician,divorced,secondary,no,84,no,no,19804
43,blue-collar,single,secondary,no,318,yes,no,9105
49,blue-collar,married,secondary,no,1157,no,no,21279
23,blue-collar,single,secondary,no,9,yes,no,4896
27,technician,single,secondary,no,489,yes,no,18190
37,technician,married,secondary,no,523,yes,no,26230
34,management,married,tertiary,no,5665,no,no,20172
47,blue-collar,married,primary,no,0,no,no,22302
56,technician,single,tertiary,no,-528,no,no,28025
46,blue-collar,married,primary,no,4170,yes,yes,36837
36,technician,married,secondary,no,577,no,no,19284
51,admin.,single,secondary,no,1994,no,no,11317
42,services,married,secondary,no,128,no,no,14075
30,student,single,tertiary,no,146,no,no,17359
34,management,married,tertiary,no,180,no,no,40301
42,management,married,tertiary,no,0,no,no,26244
52,services,divorced,secondary,no,765,yes,no,12014
31,management,single,tertiary,no,999,yes,no,32002
39,technician,married,tertiary,no,508,no,no,42104
49,admin.,married,secondary,no,2501,yes,no,7524
34,technician,married,secondary,no,0,yes,yes,20858
49,blue-collar,divorced,primary,no,0,yes,no,17804
26,blue-collar,single,secondary,no,1802,yes,no,8698
38,technician,single,tertiary,no,-572,yes,yes,9227
27,blue-collar,single,primary,no,553,yes,no,12027
41,entrepreneur,single,secondary,no,663,no,no,16599
62,self-employed,divorced,secondary,no,0,yes,no,41194
58,retired,married,primary,no,193,yes,yes,2639
60,blue-collar,married,secondary,no,3122,no,no,21255
56,retired,married,secondary,no,289,no,no,13741
59,retired,married,secondary,no,3812,yes,no,14177
48,retired,single,primary,no,119,no,yes,14888
48,technician,divorced,tertiary,no,574,yes,no,1553
36,management,married,tertiary,no,8277,yes,no,24900
44,blue-collar,married,secondary,no,879,yes,no,31594
60,unknown,married,unknown,no,652,no,no,11534
46,blue-collar,single,primary,no,96,yes,no,25613
33,admin.,married,secondary,no,1114,yes,no,14488
54,services,married,unknown,no,324,no,no,23955
25,management,single,tertiary,no,222,no,no,39707
31,services,single,secondary,no,3677,yes,no,34587
31,management,single,tertiary,no,617,no,no,40094
33,technician,single,secondary,no,541,no,yes,21899
32,technician,single,tertiary,no,1855,no,no,41582
50,management,married,unknown,no,3304,no,no,9122
32,services,married,secondary,no,-538,no,yes,38138
37,services,married,secondary,no,466,yes,yes,39508
38,management,married,tertiary,no,5506,no,no,26538
29,admin.,married,tertiary,no,238,no,no,40831
48,admin.,married,secondary,no,8,no,yes,12829
31,services,single,secondary,no,481,yes,no,5021
41,management,married,tertiary,no,2470,yes,no,35049
40,entrepreneur,divorced,secondary,no,1247,yes,no,29310
60,technician,married,secondary,no,824,yes,no,44488
55,blue-collar,married,primary,no,0,no,no,10847
38,entrepreneur,married,secondary,no,0,yes,yes,24302
24,admin.,married,secondary,no,0,yes,no,32435
60,self-employed,single,secondary,no,312,yes,no,8111
36,management,married,tertiary,no,293,yes,no,6117
38,management,married,tertiary,no,93,yes,no,22913
37,blue-collar,married,secondary,no,693,no,no,26434
54,blue-collar,married,primary,no,-219,yes,no,3538
28,technician,single,secondary,no,0,no,yes,15971
42,blue-collar,married,unknown,no,132,yes,no,450
44,housemaid,married,primary,no,1109,yes,yes,17813
46,management,single,tertiary,yes,-344,no,no,19929
58,unemployed,married,primary,no,446,no,no,27834
54,technician,married,secondary,no,1865,yes,no,6700
31,technician,single,tertiary,no,424,no,no,22226
45,blue-collar,married,primary,yes,153,no,yes,15469
31,admin.,divorced,secondary,no,217,yes,no,28882
54,retired,married,primary,no,1156,no,no,10724
43,management,married,tertiary,no,9261,yes,no,32942
41,blue-collar,married,secondary,no,5517,yes,no,13832
28,student,single,secondary,no,24,yes,no,28537
45,technician,married,secondary,no,2020,yes,no,24490
36,technician,single,tertiary,no,0,yes,no,37848
31,management,single,tertiary,no,499,yes,no,9816
32,blue-collar,single,primary,no,528,yes,no,32329
31,unemployed,single,secondary,no,315,no,no,28782
37,technician,single,secondary,no,0,no,no,18930
39,services,married,secondary,no,18,yes,yes,33269
41,admin.,married,secondary,no,14968,no,no,44270
30,services,married,secondary,no,311,yes,yes,9247
22,admin.,single,secondary,no,118,yes,no,3812
45,blue-collar,married,secondary,no,1144,yes,no,24071
31,technician,single,tertiary,no,703,yes,no,1173
35,management,divorced,tertiary,no,538,yes,no,2241
28,management,single,tertiary,no,320,yes,no,33906
25,technician,single,secondary,no,266,no,yes,40266
29,blue-collar,married,secondary,no,2,yes,no,15932
52,self-employed,married,secondary,no,517,no,no,23121
50,housemaid,married,secondary,no,34,yes,no,9199
48,management,divorced,tertiary,no,351,yes,no,31754
54,self-employed,divorced,secondary,no,1016,yes,no,27713
30,technician,single,secondary,no,0,no,no,22572
47,blue-collar,married,secondary,no,762,yes,no,7443
37,unknown,married,secondary,no,5700,no,no,11628
31,admin.,single,secondary,no,1201,no,no,30806
47,housemaid,married,primary,no,32,no,no,19121
29,management,married,tertiary,no,51,yes,no,15199
50,housemaid,divorced,secondary,no,0,no,no,41019
33,technician,divorced,secondary,no,488,no,no,19177
37,management,married,tertiary,no,6014,yes,no,14746
56,entrepreneur,divorced,tertiary,no,386,no,no,27487
27,blue-collar,single,tertiary,no,644,no,no,43861
50,blue-collar,married,primary,no,-219,no,yes,21948
44,blue-collar,single,tertiary,no,827,yes,no,11325
51,admin.,single,secondary,yes,-2,no,no,339
37,services,single,secondary,no,174,yes,no,29077
37,housemaid,married,secondary,no,589,yes,no,16983
30,technician,single,secondary,no,5,no,no,21671
42,retired,married,primary,no,0,yes,no,1464
40,management,divorced,tertiary,no,862,yes,no,20847
45,blue-collar,married,primary,no,714,no,no,10305
37,admin.,single,tertiary,no,1000,yes,no,31356
34,technician,married,secondary,no,1569,no,no,20223
35,management,married,tertiary,yes,-10,yes,no,38727
33,services,married,secondary,no,881,yes,no,5110
32,technician,married,secondary,no,5122,no,no,20887
56,unemployed,married,secondary,no,12,no,no,41751
48,admin.,single,secondary,no,-58,no,no,10794
43,management,married,primary,no,8167,yes,no,25974
29,management,single,tertiary,no,112,yes,yes,6785
58,housemaid,married,tertiary,no,6316,no,no,27013
61,retired,married,secondary,no,280,yes,no,3616
36,services,married,secondary,no,335,yes,no,1705
37,management,married,tertiary,no,0,yes,no,847
45,technician,married,secondary,no,144,no,no,20823
29,blue-collar,married,secondary,no,15,no,no,39964
25,technician,single,tertiary,yes,160,no,yes,44162
34,management,single,tertiary,no,-292,yes,no,20214
27,student,single,secondary,no,16173,yes,no,6780
37,management,married,tertiary,no,900,yes,no,35238
61,retired,married,tertiary,no,5267,no,no,44583
38,blue-collar,single,secondary,no,3054,no,no,11661
52,unemployed,married,secondary,no,-307,no,no,30420
56,management,divorced,tertiary,no,2037,no,no,44445
36,management,single,tertiary,no,3669,no,no,43506
45,technician,married,secondary,no,4639,no,no,9642
47,admin.,married,secondary,no,298,yes,no,36106
52,management,married,tertiary,no,-1224,yes,no,35480
54,management,married,tertiary,no,500,yes,no,20192
34,technician,single,secondary,no,194,yes,yes,38418
34,management,married,tertiary,no,1870,yes,no,39965
57,retired,married,tertiary,no,1292,no,no,31385
53,blue-collar,divorced,secondary,no,640,yes,no,36337
33,management,single,tertiary,no,605,no,no,19698
25,student,single,secondary,no,1116,yes,no,39782
51,technician,married,unknown,no,205,yes,yes,2419
40,technician,single,tertiary,no,431,no,no,40498
53,management,married,tertiary,no,618,no,no,20102
26,student,single,secondary,no,141,no,no,16085
34,blue-collar,married,secondary,no,0,yes,no,37321
36,services,married,tertiary,no,562,no,no,39468
52,services,married,secondary,no,3241,yes,no,2449
39,technician,single,tertiary,no,-41,no,yes,22729
53,blue-collar,married,secondary,no,-71,yes,no,35106
29,blue-collar,married,primary,no,18,yes,no,31951
30,services,single,secondary,no,-158,yes,no,36671
39,blue-collar,married,secondary,no,203,yes,no,8554
53,services,divorced,secondary,no,765,yes,no,37994
59,retired,married,secondary,no,1173,no,no,9828
33,technician,single,secondary,no,1500,no,no,19657
41,technician,married,secondary,no,0,yes,no,16603
45,technician,married,secondary,no,-374,no,yes,21414
36,management,married,tertiary,no,659,no,no,23533
52,admin.,single,secondary,no,2398,yes,no,42131
31,admin.,married,secondary,no,1331,yes,no,36476
47,technician,married,secondary,no,-226,yes,no,14122
34,management,married,tertiary,no,176,no,no,21274
53,unemployed,married,primary,no,980,yes,no,42401
31,unemployed,single,secondary,no,2616,no,no,43771
35,management,married,tertiary,no,317,yes,no,5591
71,housemaid,divorced,primary,no,1311,no,no,42198
42,admin.,single,secondary,no,4343,no,no,18503
37,blue-collar,single,secondary,no,3876,no,no,11900
40,admin.,married,secondary,no,1060,yes,no,33023
40,entrepreneur,married,secondary,no,264,yes,no,2972
83,retired,divorced,primary,no,20,no,no,42377
59,retired,married,primary,no,2074,no,no,42534
46,blue-collar,married,secondary,no,0,yes,no,24306
32,technician,single,secondary,yes,0,no,yes,14819
45,unemployed,single,secondary,no,33,no,no,30376
32,management,single,tertiary,no,863,yes,no,4463
32,admin.,married,secondary,no,9049,yes,no,26931
41,unemployed,married,secondary,no,1077,yes,yes,42467
26,technician,single,secondary,no,-525,yes,yes,16095
37,technician,married,secondary,no,603,no,no,11201
52,management,single,tertiary,no,741,no,no,19509
31,blue-collar,single,tertiary,no,2197,yes,no,5598
49,blue-collar,married,primary,no,418,no,no,21422
37,unemployed,single,primary,no,1241,no,no,9747
37,blue-collar,married,secondary,yes,1147,yes,yes,5965
31,blue-collar,married,secondary,no,43,yes,no,4081
45,blue-collar,married,secondary,no,784,yes,yes,8438
46,admin.,divorced,secondary,no,2087,no,no,26675
57,housemaid,divorced,primary,no,0,no,no,9897
47,unknown,married,unknown,no,0,no,no,9606
57,housemaid,married,secondary,no,992,no,no,10012
36,blue-collar,single,secondary,no,103,yes,no,38515
36,blue-collar,divorced,primary,no,3202,yes,no,4890
41,entrepreneur,married,secondary,no,1249,yes,no,13635
32,technician,married,secondary,no,1547,no,no,45121
87,retired,divorced,primary,no,6746,no,no,41924
43,blue-collar,married,primary,no,249,yes,no,38939
46,entrepreneur,married,tertiary,no,341,no,no,11638
51,self-employed,married,tertiary,no,146,no,no,14588
69,retired,married,secondary,no,0,no,no,41277
42,technician,married,secondary,no,166,no,no,14976
36,management,married,tertiary,no,0,yes,no,35821
33,management,divorced,tertiary,no,0,no,no,20855
59,self-employed,married,tertiary,no,6237,yes,no,35684
35,management,married,secondary,no,2311,yes,no,34521
35,management,married,tertiary,no,2308,no,yes,9750
54,management,divorced,secondary,no,155,yes,no,2994
34,blue-collar,single,secondary,no,550,yes,no,33176
77,management,married,unknown,no,1780,yes,no,41964
38,blue-collar,single,primary,no,490,yes,yes,44601
59,housemaid,divorced,primary,no,259,no,no,18545
29,services,married,secondary,no,489,yes,no,32072
37,management,married,tertiary,no,5016,no,no,19983
39,management,married,tertiary,no,246,no,no,20225
71,retired,married,tertiary,no,4388,no,no,40527
34,services,single,secondary,no,2,yes,no,38104
43,services,divorced,secondary,no,5571,no,no,9933
36,management,married,secondary,no,699,no,no,23152
41,management,married,tertiary,no,-456,no,no,32025
45,management,single,tertiary,no,1411,no,no,41476
32,admin.,single,secondary,no,2146,yes,no,4783
51,blue-collar,married,primary,no,296,yes,no,34290
29,blue-collar,married,secondary,no,1956,yes,no,3670
53,self-employed,married,secondary,no,1066,yes,no,25293
48,unemployed,married,secondary,no,1218,no,no,18898
47,management,married,tertiary,no,2351,no,no,39841
36,blue-collar,married,unknown,no,1023,yes,no,30067
35,blue-collar,married,primary,no,-210,yes,yes,31750
46,services,married,primary,no,4343,yes,no,44836
35,blue-collar,married,primary,no,526,yes,no,29326
46,technician,married,secondary,no,1322,yes,yes,25812
51,blue-collar,married,primary,no,4712,no,no,26820
58,blue-collar,married,secondary,no,381,no,no,42216
33,technician,married,tertiary,no,1746,yes,no,13824
22,student,single,unknown,no,466,no,no,40394
43,technician,divorced,primary,no,13,no,yes,13624
48,management,married,tertiary,no,1348,no,no,26582
30,management,single,tertiary,no,1038,no,no,20513
37,services,divorced,secondary,no,49,yes,no,3820
32,technician,single,tertiary,no,418,no,yes,14459
29,services,single,secondary,no,32,yes,no,8822
45,admin.,divorced,unknown,no,998,yes,no,18010
38,management,single,tertiary,no,3141,no,no,42185
43,blue-collar,married,secondary,no,1035,no,no,27996
52,housemaid,married,primary,no,0,no,yes,13645
35,services,divorced,tertiary,no,877,yes,no,32099
41,blue-collar,married,primary,no,865,no,yes,4060
35,management,divorced,tertiary,no,29,no,no,22746
50,technician,married,secondary,no,0,no,no,22507
31,blue-collar,single,secondary,no,5607,no,no,4597
34,housemaid,married,primary,no,0,yes,no,29887
32,services,married,secondary,no,207,yes,no,5300
45,admin.,married,secondary,no,153,no,no,40637
77,unknown,married,unknown,no,397,no,no,45142
43,blue-collar,married,secondary,no,3,yes,no,37009
33,blue-collar,married,primary,no,3512,yes,no,4606
31,management,single,tertiary,no,1289,yes,no,20636
47,services,married,secondary,no,405,no,yes,19824
46,admin.,single,secondary,no,-976,yes,yes,37890
36,blue-collar,married,secondary,no,0,yes,no,15045
33,management,divorced,tertiary,no,-634,yes,yes,36831
49,admin.,married,secondary,no,2732,no,no,10388
36,blue-collar,married,secondary,no,504,yes,no,1528
55,housemaid,married,secondary,no,5,no,no,14065
35,management,married,tertiary,no,323,no,no,42614
34,blue-collar,single,secondary,no,558,yes,no,4801
58,retired,married,secondary,no,53,no,no,18350
43,services,divorced,secondary,no,7816,yes,no,38604
47,self-employed,married,primary,no,1056,no,no,23984
28,management,single,tertiary,no,0,no,no,12771
23,blue-collar,single,secondary,no,0,yes,no,35736
34,technician,single,tertiary,no,2,yes,no,2537
41,admin.,married,secondary,no,0,yes,no,24683
56,technician,married,tertiary,no,73,no,no,22128
41,management,married,tertiary,no,-412,yes,no,28197
50,admin.,married,secondary,no,697,no,no,21095
32,services,married,secondary,no,2796,yes,no,8654
42,services,married,secondary,no,115,yes,yes,32720
55,management,divorced,tertiary,no,2383,no,no,39989
37,services,married,secondary,no,20,yes,no,38071
47,admin.,married,secondary,no,3676,no,no,45036
24,self-employed,single,unknown,no,1179,no,no,39534
33,technician,married,secondary,no,1021,yes,no,8510
40,blue-collar,married,primary,no,13,yes,no,12631
32,blue-collar,married,secondary,no,113,yes,yes,4604
32,management,single,tertiary,no,1345,yes,no,2268
26,blue-collar,married,primary,no,5116,yes,no,16054
41,technician,married,secondary,no,351,yes,no,13423
38,admin.,married,secondary,no,664,yes,no,3134
35,blue-collar,single,secondary,no,297,yes,no,28635
36,technician,married,primary,no,4585,yes,no,7340
25,self-employed,single,unknown,no,1179,no,no,43069
36,technician,married,secondary,no,4542,yes,no,23764
34,blue-collar,married,secondary,no,1412,yes,yes,6519
39,management,married,tertiary,no,937,no,no,32196
40,management,married,tertiary,no,0,yes,no,35753
28,student,single,secondary,no,970,no,no,45144
49,self-employed,married,tertiary,no,206,yes,no,16276
60,admin.,single,secondary,no,473,no,no,30512
47,admin.,single,secondary,no,303,yes,yes,17475
26,services,single,secondary,no,136,no,no,33509
33,management,single,secondary,no,0,no,no,23039
42,admin.,single,secondary,no,2534,no,no,17622
45,technician,married,unknown,no,473,yes,no,6146
45,blue-collar,married,unknown,no,13265,no,no,17893
43,housemaid,married,primary,no,94,no,no,16320
34,technician,divorced,secondary,no,259,no,no,20205
32,management,single,tertiary,no,1010,yes,no,14893
35,entrepreneur,married,tertiary,no,2723,yes,yes,19939
39,admin.,married,secondary,no,394,no,no,17679
42,technician,divorced,secondary,no,19,no,no,21885
43,technician,divorced,secondary,no,1612,no,no,39511
30,admin.,married,secondary,no,-170,yes,yes,5730
31,technician,married,tertiary,no,4089,no,no,20567
35,technician,married,tertiary,no,7050,no,no,44527
25,blue-collar,married,secondary,no,59,yes,no,16947
46,blue-collar,married,primary,no,1483,yes,no,2747
22,services,single,secondary,no,3,yes,no,34869
58,blue-collar,married,secondary,no,0,no,no,21292
36,management,married,tertiary,no,-1629,yes,yes,17296
52,services,married,primary,no,1625,no,no,19973
80,retired,married,primary,no,155,no,no,42460
39,technician,single,secondary,no,14,yes,no,35304
42,blue-collar,married,secondary,no,130,yes,no,7120
35,blue-collar,divorced,primary,no,1792,yes,no,18311
54,technician,divorced,secondary,no,0,yes,yes,29412
29,blue-collar,married,secondary,no,201,yes,no,6963
28,admin.,married,secondary,no,-247,yes,yes,28688
38,services,single,primary,no,393,yes,no,37770
32,services,single,secondary,no,-55,yes,no,32125
34,management,married,tertiary,no,496,no,no,20607
34,blue-collar,married,secondary,no,-304,yes,yes,8133
58,technician,married,secondary,no,2073,no,no,8285
25,services,single,secondary,no,-439,yes,no,2127
52,unknown,married,primary,no,547,no,no,9708
48,management,married,tertiary,no,4852,no,no,23066
42,management,divorced,tertiary,no,1116,yes,no,4275
37,services,married,tertiary,no,0,yes,no,7598
52,self-employed,married,secondary,no,213,yes,no,37842
44,technician,married,primary,no,2887,yes,no,2612
52,management,divorced,primary,no,92,no,yes,14783
34,technician,single,tertiary,no,2195,no,no,20901
39,management,married,tertiary,no,305,yes,no,798
19,student,single,unknown,no,108,no,no,44494
39,technician,single,tertiary,no,741,yes,no,35360
21,blue-collar,single,secondary,no,1385,yes,no,33073
32,blue-collar,divorced,secondary,no,201,yes,no,38574
41,unemployed,married,primary,no,183,yes,no,17751
36,blue-collar,married,primary,no,871,yes,yes,24995
59,retired,married,primary,no,255,no,yes,22834
30,blue-collar,married,secondary,no,1445,yes,no,4765
37,admin.,divorced,secondary,no,141,yes,no,37797
55,retired,married,secondary,no,119,no,yes,15030
42,entrepreneur,married,tertiary,no,-14,yes,no,16585
44,blue-collar,married,secondary,no,1081,yes,no,4689
38,services,single,secondary,no,9609,yes,no,20378
32,services,single,secondary,no,358,yes,no,4002
34,services,married,secondary,no,0,yes,no,26961
54,self-employed,married,secondary,no,2191,yes,no,18446
50,housemaid,married,secondary,no,1954,no,yes,17327
50,management,married,tertiary,no,135,no,no,22654
54,self-employed,married,tertiary,no,66,yes,no,36544
58,management,married,tertiary,no,2261,yes,no,40009
26,technician,single,secondary,no,1105,yes,no,44703
59,self-employed,married,primary,no,745,no,no,23138
45,management,married,unknown,no,1525,no,no,17540
56,blue-collar,married,secondary,no,-199,no,yes,14814
56,housemaid,married,primary,no,0,no,no,22960
34,admin.,married,secondary,no,445,no,no,21776
27,services,single,secondary,no,230,no,no,44304
54,management,married,secondary,no,0,no,no,25578
44,services,divorced,secondary,no,12,yes,yes,18768
52,management,married,secondary,no,4873,no,no,30585
55,unemployed,married,secondary,no,12,no,no,31813
50,blue-collar,divorced,primary,no,-10,no,yes,13822
35,technician,married,secondary,no,251,yes,yes,12451
36,admin.,single,secondary,no,22,yes,no,15942
38,admin.,married,secondary,no,0,yes,no,44727
59,management,married,secondary,no,966,no,no,15794
48,self-employed,married,tertiary,no,929,no,no,28333
32,self-employed,divorced,tertiary,no,3271,no,no,40940
41,blue-collar,divorced,secondary,no,257,yes,no,34565
34,blue-collar,divorced,secondary,no,176,yes,no,38155
30,self-employed,single,tertiary,no,48,no,no,27062
58,blue-collar,married,primary,no,781,yes,no,38361
34,admin.,single,secondary,no,0,yes,no,544
30,housemaid,single,tertiary,no,19,no,no,44417
30,self-employed,married,tertiary,no,227,yes,yes,2312
28,blue-collar,married,tertiary,no,335,yes,no,37865
29,management,single,tertiary,yes,-1661,no,yes,17733
